bug_type,count,exact_match,exact_count,rouge1,rougeL
other,1548,0.12403100775193798,192,0.8622123123824932,0.8555322145032684
unknown,480,0.5520833333333334,265,0.9738039823529063,0.9712940326780509
algorithm,107,0.5514018691588785,59,0.9294691636870234,0.9272857175697231
logic,87,0.25287356321839083,22,0.8500072296949377,0.8312761200999454
type,69,0.21739130434782608,15,0.8732241064262999,0.8667082629028868
assignment,56,0.39285714285714285,22,0.8912483306617363,0.8853228769087418
build_package_merge,55,0.8,44,0.975813875546806,0.9714606282875331
checking,53,0.5660377358490566,30,0.9372866650064755,0.9374721332667241
timing_serialization,28,0.5357142857142857,15,0.9422509850238501,0.942620855539662
reference,17,0.35294117647058826,6,0.8983369441963542,0.8985367911612381
syntax,10,0.1,1,0.8710115622195238,0.8687915615493924
